Entity,Code,Year,Expenditure,Expectancy
Afghanistan,AFG,2022,383.1073,65.617
Albania,ALB,2022,1186.2153,78.7688
Algeria,DZA,2022,547.32007,76.1289
Andorra,AND,2022,5136.417,84.0164
Angola,AGO,2022,216.91925,64.2455
Antigua and Barbuda,ATG,2022,1435.9362,77.4833
Argentina,ARG,2022,2664.3525,75.8061
Armenia,ARM,2022,1823.5403,74.6333
Australia,AUS,2022,7072.1724,82.7662
Austria,AUT,2022,7974.463,81.2959
Azerbaijan,AZE,2022,698.71686,74.125
Bahamas,BHS,2022,3047.2175,74.4911
Bahrain,BHR,2022,2256.5115,80.9921
Bangladesh,BGD,2022,178.71054,74.2647
Barbados,BRB,2022,1171.5464,75.6761
Belarus,BLR,2022,1510.6686,74.3612
Belgium,BEL,2022,7388.487,81.1589
Belize,BLZ,2022,476.5099,72.1904
Benin,BEN,2022,105.51878,60.4751
Bhutan,BTN,2022,600.0073,72.754
Bolivia,BOL,2022,830.75256,67.4342
Bosnia and Herzegovina,BIH,2022,1826.6307,76.7772
Botswana,BWA,2022,1131.766,68.7487
Brazil,BRA,2022,1696.409,74.8719
Brunei,BRN,2022,1241.9971,72.9171
Bulgaria,BGR,2022,2569.6711,74.0342
Burkina Faso,BFA,2022,174.36192,60.7
Burundi,BDI,2022,67.94091,62.8819
Cambodia,KHM,2022,333.34167,70.528
Cameroon,CMR,2022,202.47026,62.4428
Canada,CAN,2022,6991.1006,81.2493
Cape Verde,CPV,2022,663.90674,75.9068
Central African Republic,CAF,2022,109.19654,18.8177
Chad,TCD,2022,93.507805,54.5275
Chile,CHL,2022,3171.2642,79.1762
China,CHN,2022,1135.6713,78.2021
Colombia,COL,2022,1598.8687,76.5081
Comoros,COM,2022,317.39932,66.4806
Congo,COG,2022,82.80849,65.0003
Costa Rica,CRI,2022,1917.434,79.3164
Cote d'Ivoire,CIV,2022,226.62164,61.5622
Croatia,HRV,2022,3054.5444,78.2779
Cuba,CUB,2022,2884.429,77.6291
Cyprus,CYP,2022,4813.3003,80.4337
Czechia,CZE,2022,4616.5073,79.1648
Democratic Republic of Congo,COD,2022,49.821655,60.9789
Denmark,DNK,2022,7424.0317,81.2906
Djibouti,DJI,2022,153.733,65.5402
Dominica,DMA,2022,931.333,71.0806
Dominican Republic,DOM,2022,1044.242,74.2108
East Timor,TLS,2022,340.951,67.3684
Ecuador,ECU,2022,989.0487,76.5767
Egypt,EGY,2022,699.9062,71.0097
El Salvador,SLV,2022,1084.944,71.9695
Equatorial Guinea,GNQ,2022,466.3701,63.3545
Eritrea,ERI,2022,86.79503,67.7892
Estonia,EST,2022,3408.6025,78.1674
Eswatini,SWZ,2022,761.85333,63.0283
Ethiopia,ETH,2022,78.95125,66.8971
Fiji,FJI,2022,593.2219,67.1481
Finland,FIN,2022,6048.3804,81.2435
France,FRA,2022,6853.289,82.4753
French Guiana,GUF,2022,,76.7942
Gabon,GAB,2022,461.25543,67.713
Gambia,GMB,2022,88.69052,64.859
Georgia,GEO,2022,1455.663,74.1409
Germany,DEU,2022,8453.617,80.5796
Ghana,GHA,2022,241.82324,65.246
Greece,GRC,2022,3297.9526,79.9441
Greenland,GRL,2022,,70.0519
Grenada,GRD,2022,918.9973,75.1508
Guatemala,GTM,2022,783.13855,71.2064
Guinea,GIN,2022,116.0871,60.4316
Guinea-Bissau,GNB,2022,186.55786,63.6045
Guyana,GUY,2022,1229.4951,69.8885
Haiti,HTI,2022,106.82867,63.9483
Honduras,HND,2022,556.83435,72.7151
Hungary,HUN,2022,2906.8828,76.2118
Iceland,ISL,2022,6699.9253,81.5877
India,IND,2022,273.14957,71.6984
Indonesia,IDN,2022,390.1513,70.9246
Iran,IRN,2022,966.1826,76.7993
Iraq,IRQ,2022,465.97763,72.0371
Ireland,IRL,2022,8298.375,82.0505
Israel,ISR,2022,4008.7734,82.8145
Italy,ITA,2022,4981.1772,82.052
Jamaica,JAM,2022,924.6477,71.4809
Japan,JPN,2022,5387.27,84.0541
Jordan,JOR,2022,767.44965,77.088
Kazakhstan,KAZ,2022,1129.0114,73.5028
Kenya,KEN,2022,248.39711,63.5491
Kiribati,KIR,2022,302.5498,66.2687
Kosovo,KOS,2022,,77.6233
Kuwait,KWT,2022,2415.1292,78.7881
Kyrgyzstan,KGZ,2022,310.7373,71.487
Laos,LAO,2022,188.93178,68.7152
Latvia,LVA,2022,3139.067,74.8706
Lebanon,LBN,2022,653.2594,78.0029
Lesotho,LSO,2022,364.71848,56.8119
Liberia,LBR,2022,224.43799,61.9342
Libya,LBY,2022,969.2141,74.4615
Liechtenstein,LIE,2022,,83.4054
Lithuania,LTU,2022,3725.5947,74.696
Luxembourg,LUX,2022,7836.4927,82.2007
Madagascar,MDG,2022,56.050102,63.0677
Malawi,MWI,2022,105.4087,66.037
Malaysia,MYS,2022,1280.8907,75.4442
Maldives,MDV,2022,2454.0342,80.7595
Mali,MLI,2022,89.90893,60.0347
Malta,MLT,2022,5759.53,82.2496
Marshall Islands,MHL,2022,746.5047,66.7245
Mauritania,MRT,2022,274.21933,68.2807
Mauritius,MUS,2022,1554.4579,73.5445
Mexico,MEX,2022,1353.3176,73.9731
Micronesia (country),FSM,2022,378.22745,66.9606
Moldova,MDA,2022,1095.0647,71.5465
Monaco,MCO,2022,8764.558,85.7464
Mongolia,MNG,2022,1266.8844,71.5049
Montenegro,MNE,2022,3106.6316,75.9214
Morocco,MAR,2022,552.5957,75.1614
Mozambique,MOZ,2022,130.91353,63.0115
Myanmar,MMR,2022,241.94154,66.5058
Namibia,NAM,2022,929.62006,64.1903
Nauru,NRU,2022,2576.3142,61.9304
Nepal,NPL,2022,323.40787,70.0869
Netherlands,NLD,2022,7576.4463,81.9121
New Caledonia,NCL,2022,,77.6983
New Zealand,NZL,2022,5214.0234,81.0061
Nicaragua,NIC,2022,635.6673,74.4626
Niger,NER,2022,68.17015,60.3981
Nigeria,NGA,2022,245.19847,54.079
North Korea,PRK,2022,,73.6411
North Macedonia,MKD,2022,1815.3221,76.6455
Norway,NOR,2022,9927.321,82.6309
Oman,OMN,2022,1177.5503,77.9106
Pakistan,PAK,2022,178.53677,67.4167
Palau,PLW,2022,1978.8544,68.9222
Palestine,PSE,2022,625.433,76.6624
Panama,PAN,2022,3332.2903,79.3241
Papua New Guinea,PNG,2022,115.37263,65.2736
Paraguay,PRY,2022,1247.3071,72.3185
Peru,PER,2022,941.82336,76.834
Philippines,PHL,2022,529.3947,69.4723
Poland,POL,2022,2975.7773,77.9229
Portugal,PRT,2022,4682.9253,81.1936
Puerto Rico,PRI,2022,2317.8442,79.4269
Qatar,QAT,2022,,81.8566
Romania,ROU,2022,2471.5647,75.2614
Russia,RUS,2022,2445.705,72.5174
Rwanda,RWA,2022,222.12422,67.528
Saint Kitts and Nevis,KNA,2022,1945.8788,70.3131
Saint Lucia,LCA,2022,882.55475,72.6699
Saint Vincent and the Grenadines,VCT,2022,820.26215,71.1906
Samoa,WSM,2022,396.3798,71.5503
San Marino,SMR,2022,5879.6196,85.7082
Sao Tome and Principe,STP,2022,304.2408,69.2368
Saudi Arabia,SAU,2022,3102.1821,77.3098
Senegal,SEN,2022,167.8477,67.7884
Serbia,SRB,2022,2373.0935,75.4778
Seychelles,SYC,2022,1561.03,71.2481
Sierra Leone,SLE,2022,159.55705,61.2748
Singapore,SGP,2022,6657.9272,82.9211
Slovakia,SVK,2022,3168.871,77.0356
Slovenia,SVN,2022,4901.538,80.7933
Solomon Islands,SLB,2022,116.46723,70.4086
Somalia,SOM,2022,44.353733,53.9315
South Africa,ZAF,2022,1340.7423,65.4536
South Korea,KOR,2022,4859.746,82.727
